Title,Author
'Gator aid,"Cutler, Jane."
'Tis the season,"Martin, Ann M., 1955-"
'Twas the fright before Christmas,"Sierra, Judy."
'Twas the night before Thanksgiving,"Pilkey, Dav, 1966-"
"""Hallo-what?""","Desmoinaux, Christel."
"""Never spit on your shoes""","Cazet, Denys."
"""Slowly, slowly, slowly,"" said the sloth","Carle, Eric."
"""Unsinkable"" Molly Brown","Ruffin, Frances E."
"""Wanted dead or alive"" : the true story of Harriet Tubman","McGovern, Ann."
"""Who could that be at this hour?""","Snicket, Lemony."
[Abadeha : the Philippine Cinderella,"De La Paz, Myrna J."
#1 (one) : a nice story about an awful braggart,"Radunsky, Vladimir."
"1, 2, 3 to the zoo : a counting book","Carle, Eric."
10 fascinating facts about sharks,"Koestler-Grack, Rachel A., 1973-"
10 little rubber ducks,"Carle, Eric."
100 cupboards,"Wilson, Nathan D."
100 days of cool,"Murphy, Stuart J., 1942-"
100 greatest African Americans : a biographical encyclopedia,"Asante, Molefi K., 1942-"
100 monsters in my school,"Bader, Bonnie, 1961-"
100 school days,"Rockwell, Anne F."
100 skill-building lessons using 10 favorite books,"Lunsford, Susan."
100 unforgettable moments in pro baseball,"Italia, Bob, 1955-"
1001 pirate things to spot,"Jones, Rob Lloyd."
100th day of school,"Schiller, Melissa,"
100th day worries,"Cuyler, Margery."
11 birthdays,"Mass, Wendy, 1967-"
12 again,"Corbett, Sue."
13 curses,"Harrison, Michelle, 1979-"
13 gifts.,"Mass, Wendy."
13 planets : the latest view of the solar system,"Aguilar, David A."
13 secrets,"Harrison, Michelle, 1979-"
13 treasures,"Harrison, Michelle, 1979-"
14 cows for America,"Deedy, Carmen Agra."
"16 words : William Carlos Williams & ""The red wheelbarrow""","Rogers, Lisa Jean,"
1621 : a new look at Thanksgiving,"Grace, Catherine O'Neill, 1950-"
17 kings and 42 elephants,"Mahy, Margaret."
17 things I'm not allowed to do anymore,"Offill, Jenny, 1968-"
1st grade reading,"by the editors of Brain quest ; consulting editor, Tamika Jordan."
1st grade writing,"by the editors of Brain quest ; consulting editor, Tamika Jordan."
"20,000 leagues under the sea","Verne, Jules, 1828-1905."
26 Fairmount Avenue,"DePaola, Tomie, 1934-"
2nd grade reading,"by the editors of Brain quest ; consulting editor, Michael Flynn."
2nd grade writing,"by the editors of Brain quest ; consulting editor, Mike Flynn."
3 below,"Carman, Patrick."
31 uses for a mom,"Ziefert, Harriet."
33 uses for a dad,"Ziefert, Harriet."
39 uses for a friend,"Ziefert, Harriet."
50 below zero,"Munsch, Robert N., 1945-"
50 things you can do with Google Classroom,"Keeler, Alice,"
7 x 9 = trouble!,"Mills, Claudia."
9 from the Nine Worlds,"Riordan, Rick,"
9.11.01 : Terrorists attack the U.S.,"Lalley, Pat."
97 ways to train a dragon,"McMullan, Kate."
A baby panda is born,"Ostby, Kristin."
A baby sister for Frances,"Hoban, Russell."
A bad case of stripes,"Shannon, David,"
A bad case of tattle tongue,"Cook, Julia."
A bad case of the giggles : kids' favorite funny poems,illustrated by Stephen Carpenter ; selected by Bruce Lansky.
A Bad Kitty Christmas,"Bruel, Nick."
A ball for Daisy,"Raschka, Christopher."
A ballad of the Civil War,"Stolz, Mary, 1920-2006."
A bear named Bjorn,"Perret, Delphine,"
A beasty story,"Martin, Bill, 1916-2004."
A bed full of cats,"Keller, Holly."
A big cheese for the White House : the true tale of a tremendous cheddar,"Fleming, Candace."
A big day for baseball,"Osborne, Mary Pope,"
A big guy took my ball!,"Willems, Mo."
A bird and his worm,"Kaczman, James."
A birthday for Cow!,"Thomas, Jan, 1958-"
A birthday for Frances,"Hoban, Russell."
A bit more Bert,"Ahlberg, Allan."
A blue-eyed daisy,"Rylant, Cynthia."
A boy called Bat,"Arnold, Elana K.,"
A boy named Charlie Brown,"Schulz, Charles M. (Charles Monroe), 1922-2000."
A brand-new brawl,"West, Tracey, 1965-"
A bridge between worlds,"Lenhard, Elizabeth."
A butterfly is patient,"Aston, Dianna Hutts."
A butterfly's life,"Dickmann, Nancy."
A cake all for me!,"Beil, Karen Magnuson."
A cake for Herbie,"Mathers, Petra."
A Cars Christmas,"Lagonegro, Melissa."
A cat and a dog,"Masurel, Claire."
A cat is better,"Singleton, Linda Joy,"
A chair for my mother,"Williams, Vera B."
A Charlie Brown Christmas,"Schulz, Charles M. (Charles Monroe), 1922-2000."
A Charlie Brown Christmas.,"Schulz, Charles M.; adapted by Justine and Ron Fontes."
A Charlie Brown Thanksgiving,"Fontes, Justine."
A Charlie Brown valentine,"Fontes, Justine."
A child's calendar : poems,"Updike, John."
A chill in the air : nature poems for fall and winter,"Frank, John."
A Christmas carol,"Dickens, Charles."
A Christmas for Bear,"Becker, Bonny,"
A Christmas holiday cookbook,"Raabe, Emily."
A Christmas Rescue,Robin Michelle Donovan.
A Christmas story,"Wildsmith, Brian."
A Christmas surprise,"Bentley, Sue, 1951-"
A Christmas tree in the White House,"Hines, Gary."
A circus wish,"Bentley, Sue, 1951-"
A city tossed and broken : the diary of Minnie Bonner,"Blundell, Judy."
"A Civil War drummer boy : the diary of William Bircher, 1861-1865","Bircher, William, 1845-1917."
A cold snap! : frosty poems,"Baird, Audrey B."
